  Id_bike       Nombre   Tipo    Tiempo
60,Sylvan,BMX,50
78,Fern,BMX,56
51,Falito,BMX,57
100,Violet,BMX,59
76,Becki,BMX,60
57,Kania,BMX,68
54,Gayler,BMX,84
52,Hyacinthia,BMX,86
92,Keri,BMX,91
98,Sancho,BMX,92
88,Spenser,BMX,92
77,Zorine,BMX,115
75,Blayne,BMX,116
68,Jobie,MTB,60
91,Buiron,MTB,81
79,Kalila,MTB,83
59,Ellerey,MTB,89
58,Damara,MTB,93
62,Avis,MTB,97
94,Dorree,MTB,116
97,Christi,MTB,120
93,Richmound,MTB,120
89,Rollins,MTB,120
63,Herrick,PASEO,51
82,Lisa,PASEO,55
96,Torie,PASEO,57
80,Celle,PASEO,57
74,Karrah,PASEO,63
73,Giorgio,PASEO,64
99,Somerset,PASEO,66
84,Shea,PASEO,78
72,Henriette,PASEO,82
64,Rolph,PASEO,82
70,Jenda,PASEO,99
85,Laurens,PASEO,102
87,Izabel,PASEO,106
71,Lynea,PASEO,115
66,Jimmie,PLAYERA,53
86,Alla,PLAYERA,55
61,Shannon,PLAYERA,61
56,Monique,PLAYERA,63
69,Lothario,PLAYERA,66
95,Essie,PLAYERA,75
55,Warren,PLAYERA,95
67,Buddie,PLAYERA,96
83,Adams,PLAYERA,96
90,Sol,PLAYERA,101
53,Mauricio,PLAYERA,107
65,Kirbee,PLAYERA,107
81,Auberta,PLAYERA,117
